layer,fraction,c_dir_mean,c_dir_count,c_conf_mean,c_conf_count,e_dir_mean
layer_24,0.2,0.9965404111764842,1,0.00011076300792705753,1,5.1991513021494365e-09
layer_24,0.4,0.9978280598594672,1,0.002605655321700176,1,5.199210808735245e-09
layer_24,0.6,0.5694008445190749,1,0.0019975941455516928,1,5.04585331777236e-09
layer_24,0.8,0.9959543312184662,1,0.0005630712815684886,1,5.199123009606029e-09
layer_27,0.2,0.996616132791102,1,0.00019014225614826929,1,5.199154911443172e-09
layer_27,0.4,0.997867926498119,1,0.000768682726583339,1,5.1992125087561814e-09
layer_27,0.6,0.8657639317146606,1,0.002697632619127593,1,5.186806740798746e-09
layer_27,0.8,0.9971137143918205,1,0.0005718477229542204,1,5.1991782808737435e-09
