condition,family,target_tau,n,length_ratio_mean,length_ratio_median,length_ratio_std,control_error_mean,predicted_length_ratio_mean,hit_rate_eps_0p3,baseline_acc,attacked_acc,acc_retain,attacked_acc_given_baseline_correct,correct_to_wrong_rate,wrong_to_correct_rate,latency_ratio_mean,tokens_per_sec_mean,extra_tokens_mean,distinct_2_mean,distinct_3_mean,repeat_4gram_rate_mean,max_repeated_line_count_mean,curve_tracking_mse,curve_tracking_mae,mean_delta_risk
baseline,manual,,7,1.0,1.0,0.0,,,,0.7142857142857143,0.7142857142857143,1.0,1.0,0.0,0.0,1.0,36.92234663207542,0.0,0.7998564849977895,0.8945301355677093,0.056573159766097204,2.857142857142857,,,
verbosity_1_light,verbosity,1.3,7,0.9519446948610076,1.008888888888889,0.12900417299765274,0.34805530513899235,1.18217261096984,0.5714285714285714,0.7142857142857143,0.8571428571428571,1.2,1.0,0.0,0.5,0.9422211236474958,37.232384874043305,-29.142857142857142,0.859385463346764,0.9435733141363369,0.024305781805656686,1.2857142857142858,1.917958984887055e-05,0.0037633707411214665,-9.658747908881718e-05
verbosity_2_medium,verbosity,2.0,7,1.0403783556337354,1.0,0.26960328990126625,0.9596216443662646,1.1822423035234368,0.0,0.7142857142857143,0.8571428571428571,1.2,1.0,0.0,0.5,0.948724782680061,40.4658423684818,-15.142857142857142,0.8164127288095092,0.915513038075831,0.03916411364225714,2.4285714285714284,4.7789311171603234e-05,0.004738920353074765,-0.0002536369614829845
verbosity_3_strong,verbosity,3.0,7,1.4996653567313185,1.5482233502538072,0.4574275551026214,1.5003346432686815,1.183055634350497,0.0,0.7142857142857143,0.8571428571428571,1.2,1.0,0.0,0.5,1.3608103908778264,40.54072281522388,124.42857142857143,0.7805912583999388,0.8815790974136212,0.06829548236127746,3.5714285714285716,3.963803243107677e-05,0.00509736301526387,-0.002086446620654791
careful_double_check,deliberation,1.3,7,1.0624874838773652,0.9955555555555555,0.17179269764301594,0.25308824474184183,1.1817973131326707,0.42857142857142855,0.7142857142857143,0.8571428571428571,1.2,1.0,0.0,0.5,0.9671577336815729,40.58527452367964,16.428571428571427,0.8089595690373869,0.9037987259315231,0.04359463432041859,3.2857142857142856,2.6672356175395856e-05,0.003912838057999244,0.0007491317266085
two_path_reflection,deliberation,2.0,7,1.6919507341002722,1.6789297658862876,0.3400318234968142,0.3639873037654767,1.1819607534620453,0.42857142857142855,0.7142857142857143,0.7142857142857143,1.0,0.8,0.19999999999999996,0.5,1.5373005408967553,40.52336853143853,196.42857142857142,0.5458107163609045,0.6328998134872817,0.32031628331437123,2.5714285714285716,4.13105889530066e-05,0.0049393663731415495,0.00038082524613330005
uncertainty_maintenance,deliberation,3.0,7,1.0840255289314005,1.0,0.32131348095184625,1.9159744710685995,1.1816520981748009,0.0,0.7142857142857143,0.7142857142857143,1.0,0.8,0.19999999999999996,0.5,0.99555090290792,40.228975265029064,7.428571428571429,0.7876945510733953,0.8855681165180036,0.06554007337520282,1.7142857142857142,8.72234463695323e-05,0.007274415077197795,0.001076368035113205
micro_step_deliberation,deliberation,2.0,7,0.9439757557478191,0.9046242774566474,0.2425362357006573,1.0560242442521808,1.18154719626963,0.0,0.7142857142857143,0.7142857142857143,1.0,1.0,0.0,0.0,0.8682299900193897,40.15637772856244,-15.714285714285714,0.7732503883856784,0.8794842993407086,0.06017960823937739,1.2857142857142858,6.511144207313075e-05,0.005871301560719195,0.001312760433710945
