id,fraction,token_index,c_dir,c_conf,e_dir,p_finalize,direction_entropy,top_direction,top_prob,u_t,z_pos,z_neg,baseline_length,baseline_correct,latency_sec,tokens_per_sec,distinct_2,distinct_3,repeat_4gram_rate,max_repeated_line_count
gsm8k_train_0,0.1,22,0.19747060013342055,0.2584481322913278,0.6430204625437955,0.1373946053024081,0.8025293998665795,alternative,0.39680599049854187,-1.0540500838003464,-7.230098701174892,-6.176048617374546,225,True,6.5272447249735706,34.47089997087723,0.9038461538461539,0.9805825242718447,0.0,3
gsm8k_train_0,0.2,45,0.24263111039135787,0.26939040828781624,0.6703349653421038,0.08451341631264496,0.7573688896086421,verify,0.551096701015914,-0.9977175834536487,-7.259448551125238,-6.261730967671589,225,True,6.5272447249735706,34.47089997087723,0.9038461538461539,0.9805825242718447,0.0,3
gsm8k_train_0,0.3,68,0.12762782738009115,0.31500271915492456,0.6000292505771097,0.25919352834560777,0.8723721726199088,verify,0.3416133814628961,-0.7768335976588823,-6.821348613617843,-6.044515015958961,225,True,6.5272447249735706,34.47089997087723,0.9038461538461539,0.9805825242718447,0.0,3
gsm8k_train_0,0.4,90,0.34264793222835155,0.3223316407872369,0.6743336377981957,0.02671822514180781,0.6573520677716485,alternative,0.4605336047073674,-0.7430770667129254,-7.3603453581223635,-6.617268291409438,225,True,6.5272447249735706,34.47089997087723,0.9038461538461539,0.9805825242718447,0.0,3
gsm8k_train_0,0.5,112,0.15918105448150766,0.4523789540267889,0.7792085725403766,0.07766674591354693,0.8408189455184923,verify,0.42244711971557264,-0.19106330334874677,-6.437266056830126,-6.246202753481379,225,True,6.5272447249735706,34.47089997087723,0.9038461538461539,0.9805825242718447,0.0,3
gsm8k_train_0,0.6,135,0.1270409941461902,0.27219321921586376,0.5590899972590995,0.324084526955861,0.8729590058538098,verify,0.34919043498776914,-0.9835234230875711,-5.580128985052156,-4.5966055619645845,225,True,6.5272447249735706,34.47089997087723,0.9038461538461539,0.9805825242718447,0.0,3
gsm8k_train_0,0.7,158,0.2830081528457621,0.25954369117827075,0.6999225171674279,0.0450438973588093,0.7169918471542379,verify,0.5457327147955646,-1.0483415744912907,-6.762822042223823,-5.714480467732533,225,True,6.5272447249735706,34.47089997087723,0.9038461538461539,0.9805825242718447,0.0,3
gsm8k_train_0,0.8,180,0.10587187176270141,0.27029955311338927,0.7583368553270273,0.13072659427976266,0.8941281282372986,alternative,0.42763049809961656,-0.9931033032140695,-6.68471689846903,-5.69161359525496,225,True,6.5272447249735706,34.47089997087723,0.9038461538461539,0.9805825242718447,0.0,3
gsm8k_train_1,0.1,26,0.09957176372015031,0.27674325898395474,0.6155261473687129,0.28312749655587877,0.9004282362798497,alternative,0.32785320309155636,-0.9606740507530791,-5.7743954389381855,-4.813721388185106,256,False,6.3996091519948095,40.00244294922335,0.875,0.9672131147540983,0.005494505494505495,1
gsm8k_train_1,0.2,51,0.18922346378878685,0.3588849057815917,0.747531182843769,0.07588260092532677,0.8107765362112132,alternative,0.5168422990675254,-0.5802072545881245,-6.192491376945238,-5.612284122357114,256,False,6.3996091519948095,40.00244294922335,0.875,0.9672131147540983,0.005494505494505495,1
gsm8k_train_1,0.3,77,0.17547779921678042,0.3026367801091847,0.6511008411334811,0.15097688913688656,0.8245222007832196,alternative,0.481727211528411,-0.8347730530253292,-6.317988663742068,-5.483215610716739,256,False,6.3996091519948095,40.00244294922335,0.875,0.9672131147540983,0.005494505494505495,1
gsm8k_train_1,0.4,102,0.1016479442628907,0.33984526958166267,0.8324733882880618,0.08541046311681554,0.8983520557371093,alternative,0.3710061399577952,-0.6639838230116162,-5.908831067196555,-5.244847244184939,256,False,6.3996091519948095,40.00244294922335,0.875,0.9672131147540983,0.005494505494505495,1
gsm8k_train_1,0.5,128,0.140890617670702,0.23246261072254565,0.6636557736178017,0.17431390716863465,0.859109382329298,alternative,0.4478048405694038,-1.1944577959468727,-6.7183933901590835,-5.523935594212211,256,False,6.3996091519948095,40.00244294922335,0.875,0.9672131147540983,0.005494505494505495,1
gsm8k_train_1,0.6,154,0.06420753385879774,0.3249509724734251,0.8141371344939395,0.12535797054249967,0.9357924661412023,alternative,0.352925669765112,-0.7311110045853413,-6.940430431545739,-6.2093194269603975,256,False,6.3996091519948095,40.00244294922335,0.875,0.9672131147540983,0.005494505494505495,1
gsm8k_train_1,0.7,179,0.12244603106691743,0.31346950038185695,0.8801366815071505,0.047885027948095384,0.8775539689330826,alternative,0.3887113268886469,-0.7839485840421414,-6.741030884227094,-5.957082300184952,256,False,6.3996091519948095,40.00244294922335,0.875,0.9672131147540983,0.005494505494505495,1
gsm8k_train_1,0.8,205,0.0934138739869389,0.35788195610324897,0.7294629017385431,0.1649845759353273,0.9065861260130611,alternative,0.4142568677238051,-0.5845689553140554,-5.925043655625165,-5.34047470031111,256,False,6.3996091519948095,40.00244294922335,0.875,0.9672131147540983,0.005494505494505495,1
