condition,family,target_tau,id,baseline_length,attacked_length,length_ratio,control_error,predicted_length_ratio,curve_shift,extra_tokens,latency_ratio,mean_delta_risk,mean_delta_margin,risk_late_shift,margin_late_shift,weighted_margin_auc,probe_margin_mean_shift,probe_margin_late_shift,probe_weighted_margin_auc,baseline_onset_found,baseline_onset_marker,baseline_onset_token,attacked_onset_found,attacked_onset_marker,attacked_onset_token,onset_delay_ratio,preanswer_token_ratio,baseline_correct,attacked_correct,latency_sec,tokens_per_sec,distinct_2,distinct_3,repeat_4gram_rate,max_repeated_line_count
verbosity_1_light,verbosity,1.3,gsm8k_train_0,225,227,1.008888888888889,0.2911111111111111,1.2802091555476987,-0.002595159529962375,2,0.9198032208577247,0.002595159529962375,0.06430435180664062,-0.002447265582555754,-0.04828643798828125,-0.03251571655273437,0.12699515775843295,0.19605426723618757,0.06561476600340498,True,final answer,212,True,final answer,214,1.009433962264151,0.9511111111111111,True,True,7.468667862995062,30.393639691050495,0.9019607843137255,0.9801980198019802,0.0,3
verbosity_1_light,verbosity,1.3,gsm8k_train_1,962,906,0.9417879417879418,0.35821205821205826,1.2589732770378033,0.0013031033084955554,-56,0.9409595264189796,-0.0013031033084955554,-0.017578125,0.0010698393269318388,0.009765625,0.005664062500000001,0.07574903477048744,0.04770464344448211,0.0283298167188597,False,,,True,final answer,892,,0.9272349272349273,False,False,29.81107018503826,30.391394685814,0.760914760914761,0.8875,0.05636743215031315,14
verbosity_1_light,verbosity,1.3,gsm8k_train_2,692,500,0.7225433526011561,0.577456647398844,1.2630195405375961,0.0005603321239409976,-192,0.7325589848770648,-0.0005603321239409976,0.00201416015625,0.0012601257812054891,0.0478515625,0.014941406250000002,0.0015341680861176155,0.016144542970986997,0.000885082799728253,False,,,True,final answer,493,,0.7124277456647399,False,False,16.66432189097395,30.004221190111526,0.8366013071895425,0.9639344262295082,0.006578947368421052,1
verbosity_1_light,verbosity,1.3,gsm8k_train_3,299,315,1.0535117056856187,0.24648829431438135,1.2482915673722645,0.003263941039836086,16,1.0517398471885258,-0.003263941039836086,-0.04010009765625,0.005534545819827978,0.0841064453125,0.03040771484375,0.14109512097260524,0.16983576201705208,0.07721812181249792,False,,,True,final answer,309,,1.0334448160535117,False,True,10.337829463998787,30.47061291705179,0.9158415841584159,0.9800995024875622,0.0,1
verbosity_1_light,verbosity,1.3,gsm8k_train_4,320,259,0.809375,0.4906250000000001,1.263483622402992,0.00047514077718172846,-61,0.8085601011718025,-0.00047514077718172846,0.005232810974121094,0.00010177550328858802,-0.025602340698242188,-0.0076866149902343785,0.07259367223064528,0.06678169138195766,0.03644420790880902,True,final answer,298,True,final answer,251,0.8422818791946308,0.784375,True,True,8.516696143022273,30.41085365152996,0.8,0.9022988505747126,0.046242774566473986,1
verbosity_1_light,verbosity,1.3,gsm8k_train_5,302,325,1.076158940397351,0.223841059602649,1.2643532599145921,0.0003155017213818641,23,1.102678373165492,-0.0003155017213818641,-0.010471343994140625,0.0012102203718808817,0.036865234375,0.009491729736328124,0.11120236487863666,0.13871042284489254,0.06738009457502998,True,final answer,282,True,final answer,305,1.0815602836879432,1.009933774834437,True,True,10.958356603980064,29.65773169691889,0.8434343434343434,0.9137055837563451,0.05102040816326531,1
verbosity_1_light,verbosity,1.3,gsm8k_train_6,197,182,0.9238578680203046,0.3761421319796955,1.269296016666435,-0.0005918384179143732,-15,0.9475321581382675,0.0005918384179143732,0.017822265625,-0.00041843513190527835,-0.01611328125,-0.007128906250000001,0.11922325395930611,0.19417206928615283,0.07361122125766739,True,final answer,190,True,final answer,175,0.9210526315789473,0.8883248730964467,True,True,6.137883451010566,29.65191526568247,0.9473684210526315,0.9911504424778761,0.0,1
verbosity_1_light,verbosity,1.3,gsm8k_train_7,332,355,1.069277108433735,0.23072289156626513,1.2701674403508778,-0.0007518053608422082,23,1.062276619642773,0.0007518053608422082,0.06529712677001953,-0.0004841257732853539,-0.05486297607421875,-0.03419303894042969,0.006151952093203628,0.03783064816531345,0.005258627556784568,True,final answer,325,False,,,,,True,True,11.884815357043408,29.870047563642885,0.7704918032786885,0.8736263736263736,0.06629834254143646,1
verbosity_1_light,verbosity,1.3,gsm8k_train_8,182,286,1.5714285714285714,0.27142857142857135,1.255207467034027,0.0019943917422456936,104,1.5850900805435986,-0.0019943917422456936,-0.03369140625,0.002075992124427193,0.0341796875,0.014892578125,0.020782192090440965,-0.02154730880130673,0.0035844314520064625,True,final answer,170,True,final answer,277,1.6294117647058823,1.521978021978022,False,True,9.499096254992764,30.10812737576769,0.7965116279069767,0.9005847953216374,0.052941176470588235,2
verbosity_1_light,verbosity,1.3,gsm8k_train_9,222,406,1.8288288288288288,0.5288288288288288,1.2789298734078394,-0.0023603221521071313,184,1.8711163518843412,0.0023603221521071313,0.07302689552307129,-0.004357153251728401,-0.08597993850708008,-0.04445362091064453,0.07167307697024228,0.06684041298585441,0.0338457928681525,True,final answer,214,True,final answer,393,1.8364485981308412,1.7702702702702702,True,True,13.694233023037668,29.64751653612074,0.65,0.8136200716845878,0.07194244604316546,1
