condition,family,target_tau,n,length_ratio_mean,length_ratio_median,length_ratio_std,control_error_mean,predicted_length_ratio_mean,hit_rate_eps_0p3,baseline_acc,attacked_acc,acc_retain,attacked_acc_given_baseline_correct,correct_to_wrong_rate,wrong_to_correct_rate,latency_ratio_mean,tokens_per_sec_mean,extra_tokens_mean,distinct_2_mean,distinct_3_mean,repeat_4gram_rate_mean,max_repeated_line_count_mean,baseline_onset_found_rate,attacked_onset_found_rate,onset_delay_ratio_mean,preanswer_token_ratio_mean,risk_late_shift_mean,margin_late_shift_mean,weighted_margin_auc_mean,probe_margin_mean_shift_mean,probe_margin_late_shift_mean,probe_weighted_margin_auc_mean,curve_tracking_mse,curve_tracking_mae,mean_delta_risk
baseline,manual,,20,1.0,1.0,0.0,,,,0.75,0.75,1.0,1.0,0.0,0.0,1.0,30.098925559940596,0.0,0.7670135272754213,0.8755361607245197,0.07139544476740176,1.85,0.85,0.85,1.0,0.957745857306661,0.0,0.0,0.0,0.0,0.0,0.0,,,
verbosity_1_light,verbosity,1.3,20,1.2033797743111994,1.11393086338753,0.28976612765532256,0.25995240558658467,1.2629246489505417,0.7,0.75,0.85,1.1333333333333333,0.9333333333333333,0.06666666666666665,0.6,1.2080671449915783,30.00851233486468,36.5,0.780875725026988,0.8884406853862241,0.05891280919916995,2.8,0.85,0.8,1.258860261275164,1.148017402507786,0.0012468776854445882,0.01869075298309326,0.003983832597732545,0.08531715780090246,0.0782822594018527,0.04099829580347349,4.399398243085641e-05,0.004382242618682725,-0.000668185972800095
verbosity_2_medium,verbosity,2.0,20,1.162334786366976,1.0855371032163128,0.3654369451694788,0.8428312652935409,1.2631611935594962,0.05,0.75,0.8,1.0666666666666667,0.9333333333333333,0.06666666666666665,0.4,1.1678225116668588,29.94256352623814,6.25,0.7937393281267446,0.895447141526037,0.05593495613932875,3.0,0.85,0.8,1.21124626755288,1.148163378436009,0.0005724335042566446,0.0150862455368042,0.005233691930770875,0.08261652667930518,0.0817425885492626,0.04113054005926139,0.00011799096983046099,0.007827454708685963,-0.0005896685522698725
verbosity_3_strong,verbosity,3.0,20,1.5540972884318394,1.4457984221148554,0.569868260956019,1.4459027115681606,1.2486487998011326,0.05,0.75,0.85,1.1333333333333333,1.0,0.0,0.4,1.563684867511665,29.882177963223967,112.75,0.7570720337656358,0.8689657253456495,0.07118431766290431,2.2,0.85,0.85,1.7183209166936189,1.4792731904007344,0.003291062670496098,0.0639991283416748,0.03248533964157105,0.21919067342887089,0.2576592378364276,0.11657333323473067,8.258133360743806e-05,0.007568304721809362,-0.00321711005989243
careful_double_check,deliberation,1.3,20,1.1546943128647882,1.1314340459862848,0.31166595229696464,0.2775280116911897,1.2677557511291988,0.6,0.75,0.8,1.0666666666666667,0.9333333333333333,0.06666666666666665,0.4,1.167968954608162,29.775847219713295,11.65,0.7834599821126284,0.8861495818104972,0.059302786911149076,2.55,0.85,0.75,1.1930608239496536,1.1527044073052555,-0.0004098914195649607,-0.012481260299682616,-0.006734599272410073,0.02417597715106151,0.04164176329678437,0.015417074106541778,5.4750550864598e-05,0.004608963542039327,0.0002532860379703171
two_path_reflection,deliberation,2.0,20,1.6676961790082583,1.7600815418828761,0.4417251382884409,0.41829824481215594,1.2657053310115074,0.5,0.75,0.75,1.0,0.8666666666666667,0.1333333333333333,0.4,1.6802741062263629,29.85100756703398,150.25,0.6193204104067307,0.7146032303275612,0.23429334974594002,2.1,0.85,1.0,1.4949000582282506,1.3726699135984317,0.00036451934707274153,0.001317310333251953,-0.0018615667025248229,-0.011678286240359968,0.012984941784812465,-0.0007105086165925874,0.00011887671839882021,0.007928628514213174,-9.373618909013718e-05
uncertainty_maintenance,deliberation,3.0,20,1.0961002038501164,1.0017241379310344,0.37479977879126447,1.9038997961498834,1.2780943713366764,0.0,0.75,0.7,0.9333333333333332,0.8,0.19999999999999996,0.4,1.1084984207836754,29.738899158003647,-16.1,0.7882656513645271,0.8904843734397657,0.06080852247683951,1.75,0.85,0.75,1.063351674129739,1.026559732417215,-0.0022201832250643054,-0.04769923686981201,-0.026748701333999637,-0.041320352403352335,8.259019708229953e-05,-0.01000802757641651,0.00017584738794846087,0.010219025598815146,0.002215315423394102
micro_step_deliberation,deliberation,2.0,20,1.0198764775328728,1.0251822787034055,0.31417306463226846,0.980123522467127,1.2718889265774926,0.0,0.75,0.75,1.0,0.9333333333333333,0.06666666666666665,0.2,1.0324570553091,29.7383029551631,-4.6,0.7751425222570639,0.8851555607353205,0.05728701407099816,1.9,0.85,0.95,1.014352157487588,0.9625862441989829,-0.0010596790389451015,-0.02482776641845703,-0.01624842802683512,0.20271259381486537,0.22466365234158547,0.10418566258121845,0.00014515457129937802,0.009014854818126134,0.0010899909899284759
